報告書名稱,丟出原因
2022_16446422.pdf,GRI格式錯誤或無法識別文字
2022_73654033.pdf,GRI表格含特殊符號，GRI格式錯誤或無法識別文字
2022_16741846.pdf,GRI表格含特殊符號
